# Title: Planetary Band Dominance
# Desc: A planet-centric table that pairs each body’s shell placement with a simple “tilt” context—does it lean inward or outward relative to its neighbors—and the resulting band tag. Read it to compare how different planets express the inner/edge/outer pattern, to group similar behaviors, and to annotate the atlas with a single, human-friendly stability cue per body.
Name,s,k,Pw,Pb,|e|,band,R
Mercury,-2.960093648067772,-3,0.571865266042109,0.1786417645679681,0.039906351932228024,Inner/on,0.7619718972882205
Venus,-1.6608986268144446,-2,0.8164476242539079,0.2015120218456983,0.33910137318555544,Outer,0.8020432120096236
Earth,-0.9878331047437846,-1,0.8884511139261514,0.2377769967430671,0.012166895256215393,Inner/on,0.7888731470201209
Mars,0.1127159122377742,0,0.983049451558726,0.2569278110978388,0.1127159122377742,Inner/on,0.7927963529368363
Ceres,1.1275435809280132,1,0.9957697940826188,0.3011117060199835,0.1275435809280132,Inner/on,0.767818643417952
Jupiter,2.4395661264242094,2,1.017133911906796,0.3103476585296368,0.43956612642420945,Outer,0.7662132074439236
Saturn,4.301360087007518,4,1.0857809039641424,0.3444752951179711,0.3013600870075184,Edge/knee,0.7591513357263945
Uranus,5.151781318647405,5,1.2732490928448943,0.3481381626773354,0.15178131864740507,Inner/on,0.7852837676553686
Neptune,6.084922049909065,6,1.289632010889002,0.2748148547084574,0.08492204990906504,Inner/on,0.8243373675695236
Pluto,7.34910818066656,7,1.1328554960204442,0.2343509431211967,0.34910818066656013,Outer,0.8285913989197368
Haumea,7.1654594542344325,7,1.1100270792658924,0.2291926902583093,0.16545945423443253,Inner/on,0.8288610312706652
Makemake,7.041092360799354,7,1.0986937921766544,0.2293623714029766,0.041092360799353855,Inner/on,0.8272946749595624
Eris,8.226063678864278,8,1.0644857921809308,0.2363040736508043,0.22606367886427847,Edge/knee,0.8183380114975682
Io,26.002515456097957,26,0.4681960370244786,0.1205824037009616,0.0025154560979565588,Inner/on,0.7951990165394122
Europa,27.037190787447614,27,0.601033563537248,0.119827931805122,0.037190787447613616,Inner/on,0.8337712132228533
Ganymede,28.066767640246663,28,0.6003777156549226,0.1254261192519734,0.06676764024666326,Inner/on,0.8271900571205129
Callisto,29.106661703357815,29,0.4388613691078228,0.1221195622135098,0.10666170335781544,Inner/on,0.7823106715483719
Mimas,25.187018537262414,25,0.8667741160449965,0.2037866639529269,0.18701853726241424,Inner/on,0.8096449377182281
Enceladus,25.329982598020656,25,0.932862292634248,0.1961723012146586,0.3299825980206563,Edge/knee,0.8262477498179198
Tethys,26.22607396034176,26,1.012391871780926,0.2017814042660394,0.2260739603417612,Edge/knee,0.8338116904343442
Dione,26.288485377087557,26,1.06564619579273,0.2317602882926772,0.2884853770875573,Edge/knee,0.8213664790984498
Rhea,27.0172041141336,27,1.0814144302108133,0.2891902745071352,0.017204114133601678,Inner/on,0.789005339386569
Titan,29.27008933810346,29,0.8151489367813494,0.2560162691326792,0.27008933810346036,Edge/knee,0.7609927322889285
Hyperion,29.129599641173453,29,0.7541939190635244,0.2368282756735855,0.1295996411734528,Inner/on,0.7610262646676553
Iapetus,31.047350145908865,31,0.4639904129785006,0.1677265639994385,0.047350145908865215,Inner/on,0.7344909665055656
Miranda,24.20763494136651,24,0.5990317085087596,0.1507860538678918,0.20763494136651062,Edge/knee,0.7989030649394668
Ariel,25.01584166271146,25,0.710641917462232,0.1574476291851403,0.015841662711459037,Inner/on,0.8186274333181237
Umbriel,26.294760112278368,26,0.7960942813488686,0.1550283944017079,0.29476011227836807,Edge/knee,0.8370048382251348
Titania,27.266452523854966,27,0.7083987060030557,0.1552993574636727,0.26645252385496576,Edge/knee,0.8201925371462232
Oberon,27.33767720957592,27,0.5789138605178425,0.1552466639936506,0.3376772095759186,Outer,0.7885385296397528
Naiad,22.062412544763884,22,0.9321605923025732,0.17812905990123,0.062412544763883915,Inner/on,0.8395652345785053
Thalassa,22.14055453836506,22,0.9192859529963916,0.1739589012370477,0.14055453836505905,Inner/on,0.8408783717907147
Despina,22.239858838597296,22,0.919045138215994,0.1710922097514236,0.2398588385972964,Edge/knee,0.8430544462397986
Galatea,23.417116033270375,23,0.98535483076248,0.1715968043084729,0.41711603327037494,Outer,0.851681955315315
Larissa,23.060594825135933,23,1.131943870317247,0.1850451107954814,0.06059482513593295,Inner/on,0.8594938048463123
Proteus,24.084412743292948,24,1.0590365813410811,0.2755813851996813,0.08441274329294757,Inner/on,0.7935129062334075
Triton,26.209275841925724,26,0.459535091292146,0.1755267858503139,0.20927584192572368,Edge/knee,0.723606797749979
Nereid,32.08949666704601,32,0.0525648386741118,0.0200779817603557,0.08949666704600645,Inner/on,0.7236067977499794
