# Title: Atomic φ-Bands — A-Series
# Desc: A compact sweep of the atomic sequence where each A entry is positioned on its nearest φ-shell and labeled by band. The Cφ and Sφ columns carry the lexicon’s “phi fingerprints” for that entry; together with the band tag they make the repeating inner/edge/ridge/outer pattern obvious across the series. Use this to see structure first, then drill down with your own rules if you need finer classification.
Name,s,k,|e|,band,Cφ,Sφ,τ_est
A=1,0.0,0,0.0,Inner/on,0.0,0.99715,3.13349e-11
A=2,1.44,1,0.43999999999999995,Outer,0.44042,0.18985,8.777082e-13
A=3,2.283,2,0.2829999999999999,Outer,0.283012,0.384635,1.304304e-12
A=4,2.881,3,0.11900000000000022,Edge/knee,0.11916,0.691234,5.419984e-12
A=5,3.345,3,0.3450000000000002,Outer,0.344552,0.297018,4.807841e-13
A=6,3.723,4,0.27700000000000014,Outer,0.276568,0.393232,1.109431e-12
A=7,4.044,4,0.043999999999999595,Inner/on,0.04377,0.871026,3.28858e-12
A=8,4.321,4,0.32099999999999973,Outer,0.32126,0.32716,5.857668e-13
A=9,4.566,5,0.43400000000000016,Outer,0.433976,0.194656,1.273759e-13
A=10,4.785,5,0.21499999999999986,Outer,0.215028,0.494569,1.066097e-12
A=11,4.983,5,0.017000000000000348,Inner/on,0.016965,0.93918,2.528914e-12
A=12,5.164,5,0.1639999999999997,Outer,0.163852,0.591278,1.30197e-12
A=13,5.33,5,0.33000000000000007,Outer,0.330188,0.313699,2.074903e-13
A=14,5.484,5,0.484,Outer,0.484191,0.14871,8.559734e-14
A=15,5.628,6,0.3719999999999999,Outer,0.372436,0.260073,1.277961e-13
A=16,5.762,6,0.23800000000000043,Outer,0.23832,0.4517,5.583892e-13
A=17,5.888,6,0.1120000000000001,Edge/knee,0.112336,0.698663,8.282108e-13
A=18,6.006,6,0.006000000000000227,Inner/on,0.006444,0.963063,2.692378e-12
A=19,6.119,6,0.11899999999999977,Edge/knee,0.1188,0.683292,7.070537e-13
A=20,6.225,6,0.22499999999999964,Outer,0.225392,0.472613,4.928529e-13
A=21,6.327,6,0.32699999999999996,Outer,0.326782,0.316467,1.319841e-13
A=22,6.423,6,0.42300000000000004,Outer,0.423455,0.20319,9.220178e-14
A=23,6.516,7,0.484,Outer,0.48417,0.147807,3.220699e-14
A=24,6.604,7,0.3959999999999999,Outer,0.395728,0.232046,1.066492e-13
A=25,6.689,7,0.31099999999999994,Outer,0.310896,0.337394,1.257636e-13
A=26,6.771,7,0.2290000000000001,Outer,0.229392,0.463913,3.677822e-13
A=27,6.849,7,0.1509999999999998,Outer,0.150965,0.61138,3.932792e-13
A=28,6.925,7,0.07500000000000018,Inner/on,0.075389,0.779382,1.061866e-12
A=29,6.998,7,0.0019999999999997797,Inner/on,0.002467,0.967369,1.062011e-12
A=30,7.068,7,0.06799999999999962,Inner/on,0.067984,0.796406,1.045001e-12
A=31,7.136,7,0.13600000000000012,Edge/knee,0.136124,0.640887,3.81927e-13
A=32,7.202,7,0.20199999999999996,Outer,0.2021,0.510577,3.672036e-13
A=33,7.266,7,0.266,Outer,0.266047,0.402044,1.352504e-13
A=34,7.328,7,0.3280000000000003,Outer,0.328084,0.312299,1.305398e-13
A=35,7.388,7,0.3879999999999999,Outer,0.388322,0.238731,4.805897e-14
A=36,7.447,7,0.44700000000000006,Outer,0.446864,0.179052,4.613443e-14
A=37,7.504,8,0.49600000000000044,Outer,0.496199,0.137072,1.798305e-14
A=38,7.559,8,0.44099999999999984,Outer,0.44078,0.184535,4.605291e-14
A=39,7.613,8,0.38699999999999957,Outer,0.3868,0.239922,4.36758e-14
A=40,7.666,8,0.33399999999999963,Outer,0.334188,0.303305,1.056768e-13
A=41,7.717,8,0.28300000000000036,Outer,0.282874,0.3747,9.553903e-14
A=42,7.767,8,0.23299999999999965,Outer,0.232798,0.454079,2.218569e-13
A=43,7.816,8,0.18400000000000016,Outer,0.183899,0.541377,1.935153e-13
A=44,7.864,8,0.13600000000000012,Edge/knee,0.136125,0.636503,4.35385e-13
A=45,7.911,8,0.08900000000000041,Edge/knee,0.089424,0.739343,3.692029e-13
A=46,7.956,8,0.043999999999999595,Inner/on,0.04375,0.849765,8.098377e-13
A=47,8.001,8,0.0009999999999994458,Inner/on,0.000941,0.962438,6.623206e-13
A=48,8.045,8,0.04499999999999993,Inner/on,0.044692,0.846562,7.709276e-13
A=49,8.088,8,0.08799999999999919,Edge/knee,0.087541,0.742283,3.436898e-13
A=50,8.13,8,0.13000000000000078,Edge/knee,0.129524,0.648604,4.020706e-13
A=51,8.171,8,0.17099999999999937,Outer,0.170675,0.564609,1.800074e-13
A=52,8.211,8,0.2110000000000003,Outer,0.211028,0.48946,2.112977e-13
A=53,8.251,8,0.25099999999999945,Outer,0.250612,0.422391,9.483528e-14
A=54,8.289,8,0.2889999999999997,Outer,0.289456,0.362694,1.114962e-13
A=55,8.328,8,0.3279999999999994,Outer,0.327587,0.309723,5.007176e-14
A=56,8.365,8,0.3650000000000002,Outer,0.365031,0.26288,5.884091e-14
A=57,8.402,8,0.40199999999999925,Outer,0.401812,0.221615,2.638186e-14
A=58,8.438,8,0.4380000000000006,Outer,0.437954,0.18542,3.09121e-14
A=59,8.473,8,0.47300000000000075,Outer,0.473477,0.153829,1.379965e-14
A=60,8.508,9,0.4920000000000009,Outer,0.491596,0.139136,1.8698e-14
A=61,8.543,9,0.45700000000000074,Outer,0.457247,0.167606,1.538171e-14
A=62,8.577,9,0.42300000000000004,Outer,0.423456,0.199051,3.271645e-14
A=63,8.61,9,0.39000000000000057,Outer,0.390206,0.233495,2.628651e-14
A=64,8.643,9,0.3569999999999993,Outer,0.357479,0.270951,5.474611e-14
A=65,8.675,9,0.3249999999999993,Outer,0.32526,0.311425,4.316119e-14
A=66,8.706,9,0.2940000000000005,Outer,0.293533,0.354915,8.836008e-14
A=67,8.738,9,0.26200000000000045,Outer,0.262283,0.401415,6.857913e-14
A=68,8.769,9,0.23099999999999987,Outer,0.231496,0.450911,1.383921e-13
A=69,8.799,9,0.2010000000000005,Outer,0.201159,0.503386,1.059961e-13
